listing_id,neighborhood,city,room_type,num_rooms,monthly_rent,wifi_available,security_score,availability,latitude,longitude,photo_count,agent_contact,description,room_type_encoded,neighborhood_encoded
H001,Molyko,Buea,Studio,1,70000,1,3,1,4.15707,9.28986,3,237655000000.0,"Fenced compound, spacious parlor, private balcony, enough parking space, constant water flow, solar available, prepaid electricity, 10k janitorial services",2,7
H002,Molyko,Buea,2-bedroom apartment,2,100000,1,3,1,4.15707,9.28986,3,237655000000.0,"Fenced compound, well staffed, spacious rooms, private balcony, constant water flow, generator for electricity backup",4,7
H003,GRA,Buea,2-bedroom apartment,2,120000,1,5,1,4.14851,9.22866,3,237655000000.0,"Fenced compound, private balcony, constant water flow, solar energy",4,9
H004,Bokwango,Buea,Studio,1,60000,0,4,1,4.1444,9.22804,3,237655000000.0,"Constant water flow, 4-5 minutes from the road",2,3
H005,Bokwango,Buea,Studio,1,50000,0,4,1,4.1444,9.22804,3,237655000000.0,7 minutes from road,2,3
H006,Molyko,Buea,Studio,1,40000,0,3,0,4.15707,9.28986,3,237655000000.0,"Water available, prepaid electricity",2,7
H007,Clerks' Quarters,Buea,2-bedroom apartment,2,115000,0,4,1,4.1522,9.24173,3,237655000000.0,"Constant water supply, free electricity bills",4,8
H008,Bonduma,Buea,2-bedroom apartment,2,80000,0,3,1,4.16095,9.26713,3,237655000000.0,"Constant water flow, prepaid electricity, fenced compound",4,5
H009,Bomaka,Buea,Studio,1,40000,0,2,1,4.1578,9.3164,3,237655000000.0,"Constant water, choose any color and it will be repainted",2,2
H010,Bomaka,Buea,1-bedroom apartment,1,30000,0,2,1,4.1578,9.3164,3,237655000000.0,"Fenced compound, constant water flow",3,2
H011,Molyko,Buea,Studio,1,75000,1,3,1,4.15707,9.28986,3,237655000000.0,"3 minutes from road, prepaid electricity, constant water, standby generator, private balcony",2,7
H012,Bonduma,Buea,1-bedroom apartment,1,40000,0,3,1,4.16095,9.26713,3,237655000000.0,Constant water,3,5
H013,Federal Quarters,Buea,2-bedroom apartment,2,150000,1,5,1,4.14402,9.23205,3,237655000000.0,"2 bathrooms, constant water, standby generator, private balcony",4,10
H014,Clerks' Quarters,Buea,2-bedroom apartment,2,110000,0,4,1,4.1522,9.24173,3,237655000000.0,"Free electricity at the moment, constant water flow",4,8
H015,Molyko,Buea,Studio,1,50000,0,3,1,4.15707,9.28986,3,237655000000.0,"3-4 minutes from road, prepaid electricity, constant water",2,7
H016,Bokwango,Buea,2-bedroom apartment,2,90000,0,4,1,4.1444,9.22804,3,237655000000.0,"Prepaid electricity, constant water, 4 minutes from road",4,3
H017,Molyko,Buea,Studio,1,50000,0,3,1,4.15707,9.28986,3,237655000000.0,"Pay 1 year + caution required, prepaid electricity, constant water",2,7
H018,GRA,Buea,2-bedroom apartment,2,120000,1,5,1,4.14851,9.22866,3,237655000000.0,"Standalone apartment, will be renovated, constant water, standby generator",4,9
H019,Bomaka,Buea,Studio,1,55000,0,2,1,4.1578,9.3164,3,237655000000.0,"Zero distance from road, 2,500 FCFA monthly light bill, 1,000 FCFA trash management fee",2,2
H020,Bomaka,Buea,1-bedroom apartment,1,25000,0,2,1,4.1578,9.3164,3,237655000000.0,"Yearly payments accepted, constant water flow, fenced compound, private balcony",3,2
